method,catalog_entries,clients,attempts,successes,timeouts,errors,timeout_pct,error_pct,mean_ms,sd_ms,p50_ms,p95_ms,p99_ms,throughput_ops_per_s,source
"put",256,8,504,504,0,0,0,0,871.187,70.683,864.153,994.278,1083.727,9.163,"json"
"put",256,16,512,512,0,0,0,0,1723.722,152.922,1692.740,2030.613,2186.797,9.260,"json"
"put",256,24,504,504,0,0,0,0,2636.904,332.698,2602.249,3422.241,3508.300,9.073,"json"
"put",256,32,512,512,0,0,0,0,3377.337,308.862,3324.739,4073.060,4079.988,9.445,"json"
"put",256,40,520,520,0,0,0,0,4311.888,431.371,4283.737,5179.753,5211.560,9.227,"json"
"put",256,48,528,528,0,0,0,0,5648.182,756.588,5425.395,7022.129,7029.223,8.418,"json"
"put",256,56,504,504,0,0,0,0,6245.126,534.686,6149.578,7048.358,7054.585,8.912,"json"
"put",256,64,512,504,0,8,0,1.563,7806.395,1688.211,7534.319,10917.190,10925.447,8.020,"json"
"put",256,96,576,576,0,0,0,0,11581.476,2568.331,10383.653,18448.287,18950.219,8.047,"json"
"put",256,128,512,453,0,59,0,11.523,15905.420,2897.194,16065.494,19633.076,19643.278,7.070,"json"
"put",256,192,576,576,0,0,0,0,22283.143,2575.616,23388.571,24888.255,24903.538,8.496,"json"
"put",256,256,512,192,320,0,62.500,0,28853.511,446.881,28638.166,29798.615,29976.165,2.982,"json"
"put",512,1,200,200,0,0,0,0,186.999,18.379,186.759,216.066,237.338,5.347,"independent"
"put",512,5,200,200,0,0,0,0,725.684,63.408,706.585,824.318,989.459,6.874,"independent"
"put",512,8,504,504,0,0,0,0,1185.443,110.166,1158.149,1391.114,1687.287,6.733,"json"
"put",512,10,200,200,0,0,0,0,1486.290,103.895,1450.238,1620.050,1763.626,6.710,"independent"
"put",512,16,512,512,0,0,0,0,2308.448,284.518,2178.706,2969.147,3119.646,6.905,"json"
"put",512,20,200,200,0,0,0,0,3022.227,303.689,2981.777,3518.516,3625.739,6.575,"independent"
"put",512,24,504,504,0,0,0,0,3852.885,347.815,3725.887,4536.065,4690.858,6.173,"json"
"put",512,32,512,512,0,0,0,0,5470.824,570.990,5175.771,6347.232,6369.999,5.815,"json"
"put",512,40,520,520,0,0,0,0,7122.982,467.003,7100.578,8102.013,8115.597,5.577,"json"
"put",512,48,528,528,0,0,0,0,9259.553,605.770,9121.031,10631.572,10735.900,5.120,"json"
